0,A0,0	
1,A1,5	
2,A2,10	
3,A3,15	
4,A4,20	
5,A5,25	
6,A6,30	
7,A7,35	
8,A8,40	
9,A9,45	
10,A10,50	
11,A11,55	
12,A12,60	
13,A13,65	
14,A14,70	
15,A15,75	
16,A16,80	
17,A17,85	
18,A18,90	
19,A19,95	
20,A20,100	
21,A21,105	
22,A22,110	
23,A23,115	
24,A24,120	
25,A25,125	
26,A26,130	
27,A27,135	
28,A28,140	
29,A29,145	
30,A30,150	
31,A31,155	
32,A32,160	
33,A33,165	
34,A34,170	
35,A35,175	
36,A36,180	
37,A37,185	
38,A38,190	
39,A39,195	
40,A40,200	
41,A41,205	
42,A42,210	
43,A43,215	
44,A44,220	
45,A45,225	
46,A46,230	
47,A47,235	
48,A48,240	
49,A49,245	
50,A50,250	
51,A51,255	
52,A52,260	
53,A53,265	
54,A54,270	
55,A55,275	
56,A56,280	
57,A57,285	
58,A58,290	
59,A59,295	
60,A60,300	
61,A61,305	
62,A62,310	
63,A63,315	
64,A64,320	
65,A65,325	
66,A66,330	
67,A67,335	
68,A68,340	
69,A69,345	
70,A70,350	
71,A71,355	
72,A72,360	
73,A73,365	
74,A74,370	
75,A75,375	
76,A76,380	
77,A77,385	
78,A78,390	
79,A79,395	
80,A80,400	
81,A81,405	
82,A82,410	
83,A83,415	
84,A84,420	
85,A85,425	
86,A86,430	
87,A87,435	
88,A88,440	
89,A89,445	
90,A90,450	
91,A91,455	
92,A92,460	
93,A93,465	
94,A94,470	
95,A95,475	
96,A96,480	
97,A97,485	
98,A98,490	
99,A99,495	
